CODIGO_PROYECTO,TITULO_PROYECTO,ENTIDAD,AREA_TEMATICA,DEPARTAMENTO_ENTIDAD,CIUDAD_ENTIDAD,,,,,,,
111845422111,RECUPERACION DE ORO ELIMINANDO EL USO DE MERCURIO E IMPLEMENTANDO NUEVAS ALTERNATIVAS TECNOLOGICAS DE CONCENTRACION EN LA ETAPA DE LIMPIEZA FINAL,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE MEDELLIN,MINERIA,ANTIOQUIA,MEDELLIN,,,,,,,
335145425026,Proyecto de implementacion de la tecnologia RFID en la ultima milla de la cadena textil confeccion                                                                                                                                                                              ,FUNDACION LOGyCA,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
230945425009,ESTANDARIZACION Y VALIDACION DE LOS PROCESOS PARA LA OBTENCION DE UN ENLATADO TIPO ATUN EN CONSERVA CON ADITIVOS (N.TC. 1276) MEDIANTE EL APROVECHAMIENTO DE LOS SUBPRODUCTOS OBTENIDOS DEL PROCESO INDUSTRIAL DEL FILETEO DE LA TILAPIA PLATEADA (Oreochromis niloticus)  Var Chitralada.2vers,CORPORACION CENTRO DE DESARROLLO TECNOLOGICO PISCICOLA SURCOLOMBIANO - ACUAPEZ,INFORMACION NO SOLICITADA,HUILA,NEIVA,,,,,,,
121045422085,Diseno y construccion de una camara de fermentacion para productos carnicos madurados,UNIVERSIDAD PONTIFICIA BOLIVARIANA - SEDE MEDELLIN,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
338745425907,OBTENCION CARACTERIZACION Y APLICACION DE FIBRA DIETARIA A PARTIR DE SUBPRODUCTOS DE NARANJA EN PRODUCTOS CARNICOS Y DE PANADERIA.,INSTITUTO DE CIENCIA Y TECNOLOGIA ALIMENTARIA - FUNDACION INTAL,INFORMACION NO SOLICITADA,ANTIOQUIA,ITAGUI,,,,,,,
111845426007,RESISTENCIA A LA FATIGA DE PARES RUEDA-RIEL BAJO CONDICIONES DE OPERACION DEL METRO DE MEDELLIN,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE MEDELLIN,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
121645422105,Desarrollo de materiales con propiedades de aislamiento termico y acustico  para aplicacion en el sector de la construccion,UNIVERSIDAD EAFIT,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
710645425024,Desempeno fisiologico  de genotipos de cacao bajo diferentes regimenes hidricos en etapa de vivero,CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA,INFORMACION NO SOLICITADA,CUNDINAMARCA,MOSQUERA,,,,,,,
121545421972,Diseno y desarrollo de una herramienta/aplicacion informatica de un Sistema Integrado de Gestion Energetica (SIGE) para el diseno de intercambiadores de calor Brazed fabricados en aluminio con retardadores internos.,UNIVERSIDAD DEL NORTE - UNINORTE,INFORMACION NO SOLICITADA,ATLANTICO,BARRANQUILLA,,,,,,,
121645425669,Desarrollo de fundiciones de hierro con caracteristicas mejoradas utilizando metodos computacionales de diseno de moldes,UNIVERSIDAD EAFIT,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
212545421909,EVALUACION DE TECNOLOGIAS INNOVADORAS PARA LA OBTENCION DE MATERIAL VEGETAL DE SIEMBRA EN CULTIVOS DE MARACUYA (Passiflora edulis f. flavicarpa) Y GRANADILLA (Passiflora ligularis Juss) PARA MEJORAR SU PRODUCTIVIDAD Y COMPETITIVIDAD EN EL DEPARTAMENTO DEL HUILA,CORPORACION CENTRO DE INVESTIGACION PARA LA GESTION TECNOLOGICA DE PASSIFLORA DEL DEPARTAMENTO EL HUILA - CEPAS HUILA,INFORMACION NO SOLICITADA,CORDOBA,PUEBLO NUEVO,,,,,,,
335145425025,Mejoramiento de los procesos logisticos a traves de la implementacion de la tecnologia RFID para incrementar la visibilidad del producto y la informacion en las industrias que manejan productos que contienen liquidos y metales,FUNDACION LOGyCA,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
710645422095,Mejoramiento de la base tecnologica en cosecha y acondicionamiento de mora (Rubus glaucus Benth)  y obtencion de un nectar con propiedades nutraceuticas valuadas en un modelo animal.,CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA,INFORMACION NO SOLICITADA,CUNDINAMARCA,MOSQUERA,,,,,,,
212545421949,Optimizacion del Manejo del Agua en los Cultivos de Grandilla (Passiflora Ligularis Jus) y Maracuya (Passiflora edullis variedad flavicarpa) para mejorar la competitividad.,CORPORACION CENTRO DE INVESTIGACION PARA LA GESTION TECNOLOGICA DE PASSIFLORA DEL DEPARTAMENTO EL HUILA - CEPAS HUILA,INFORMACION NO SOLICITADA,CORDOBA,PUEBLO NUEVO,,,,,,,
110145422096,INFLUENCIA DE LA MASTITIS BOVINA SOBRE PARAMETROS DE CALIDAD DE LA LECHE EN FINCAS DE CUNDINAMARCA. CONTRIBUCION A LA COMPETITIVIDAD DE LA CADENA,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTA,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
111845422048,USO DE MATERIAS PRIMAS COLOMBIANAS PARA EL DESARROLLO DE BALDOSAS CERAMICAS CON ALTO GRADO DE GRESIFICACION - PLANTA PILOTO. PROYECTO IBEROEKA - SEGUNDA PARTE,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE MEDELLIN,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
111845422120,DIAGNOSTICO DISTRIBUIDO DE EVENTOS Y OPTIMIZACION DE REDES DE GESTION EN SISTEMAS DE TRANSMISION DE ENERGIA ELECTRICA,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE MEDELLIN,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
110645422039,Identificacion evaluacion y manejo del riesgo en el Sistema de Abastecimiento de agua de la red baja de la ciudad de Cali enmarcados en un Plan de Seguridad del Agua (PSA),UNIVERSIDAD DEL VALLE - UNIVALLE,INFORMACION NO SOLICITADA,VALLE DEL CAUCA,CALI,,,,,,,
121045422103,Incremento de la eficiencia energetica y el confort del usuario en el metro de Medellin mediante simulacion computacional de fluidos Fase I Resistencia aerodinamica y ventilacion.,UNIVERSIDAD PONTIFICIA BOLIVARIANA - SEDE MEDELLIN,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
121545425624,Programa Estrategico Diseno e implementacion de modelos de gestion para mejoramiento de la eficiencia operativa en Mundial Logistics Service S.A. (MLS) y Comercial Plastider S.A.,UNIVERSIDAD DEL NORTE - UNINORTE,INFORMACION NO SOLICITADA,ATLANTICO,BARRANQUILLA,,,,,,,
111845422036,Modelacion y simulacion del proceso de espumado en termofijos y elastomeros,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE MEDELLIN,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
19545425911,MODELACION DE LA ESTRUCTURA RESISTIVA DEL SUBSUELO A PARTIR DE SONDEOS MAGNETOTELURICOS EN AREAS GEOTERMICAS DE COLOMBIA. CASO NEVADO DEL RUIZ ,INSTITUTO DE INVESTIGACION E INFORMACION GEOCIENTIFICA MINERO-AMBIENTAL Y NUCLEAR - INGEOMINAS,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
120445425795,DESARROLLO DE ALMIDON PLASTIFICADO EN TRES GRADOS DE PROCESABILIDAD DIFERENTES A PARTIR DE ALMIDON DE YUCA. MAYO 2009,UNIVERSIDAD DE LOS ANDES - UNIANDES,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
110145425657,PROGRAMA ESTRATEGICO PARA LA INVESTIGACION Y MODELAMIENTO DEL SISTEMA HIDROTERMAL-MAGMATICO EN AREAS CON POTENCIAL GEOTERMICO LOCALIZADAS EN EL FLANCO NOROCCIDENTAL DEL VOLCAN NEVADO DEL RUIZ COLOMBIA.  ,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTA,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
111545425886,REDUCCION DE EMISIONES DE MATERIAL PARTICULADO Y NOx EN LA EMPRESA SUMICOL S.A.,UNIVERSIDAD DE ANTIOQUIA - UDEA,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
